"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"19.01.2015","11,413","11,300","11,479","11,230","637,37K","1,16%"
"16.01.2015","11,282","11,183","11,310","11,122","820,10K","0,04%"
"15.01.2015","11,277","11,376","11,451","10,826","1,11M","0,08%"
"14.01.2015","11,268","11,742","11,864","11,160","1,98M","-5,58%"
"13.01.2015","11,934","11,652","12,108","11,652","1,03M","1,39%"
"12.01.2015","11,770","11,887","12,014","11,695","652,22K","-0,43%"
"09.01.2015","11,821","11,648","12,000","11,624","671,84K","1,20%"
"08.01.2015","11,681","11,690","11,751","11,559","677,85K","1,19%"
"07.01.2015","11,544","11,704","11,803","11,479","561,53K","-0,49%"
"06.01.2015","11,601","11,742","11,845","11,559","461,54K","-1,07%"
"05.01.2015","11,727","11,826","11,915","11,643","948,51K","-0,95%"
"02.01.2015","11,840","11,690","11,957","11,657","616,89K","0,88%"
