"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","9,450","9,400","9,455","9,350","246,41K","0,85%"
"30.12.2024","9,370","9,330","9,405","9,320","511,32K","0,54%"
"27.12.2024","9,320","9,315","9,400","9,310","537,69K","0,32%"
"24.12.2024","9,290","9,290","9,300","9,255","215,20K","0,27%"
"23.12.2024","9,265","9,270","9,285","9,160","479,15K","0,54%"
"20.12.2024","9,215","9,195","9,225","9,060","895,99K","0,05%"
"19.12.2024","9,210","9,170","9,290","9,115","764,38K","-1,13%"
"18.12.2024","9,315","9,420","9,435","9,240","865,46K","0,70%"
"17.12.2024","9,250","9,385","9,400","9,250","1,10M","-2,01%"
"16.12.2024","9,440","9,505","9,555","9,365","600,38K","-0,94%"
"13.12.2024","9,530","9,900","9,900","9,530","1,21M","-4,99%"
"12.12.2024","10,030","10,120","10,170","10,020","598,64K","-1,38%"
"11.12.2024","10,170","10,000","10,200","9,825","692,39K","1,29%"
"10.12.2024","10,040","10,150","10,180","10,020","767,52K","-1,86%"
"09.12.2024","10,230","10,020","10,310","10,020","1,98M","2,51%"
"06.12.2024","9,980","9,950","10,090","9,940","1,01M","0,60%"
"05.12.2024","9,920","9,690","9,935","9,685","1,40M","2,48%"
"04.12.2024","9,680","9,555","9,790","9,555","919,13K","1,52%"
"03.12.2024","9,535","9,530","9,565","9,415","682,73K","0,37%"
"02.12.2024","9,500","9,455","9,630","9,445","579,13K","-0,11%"
"29.11.2024","9,510","9,450","9,530","9,450","428,75K","0,00%"
"28.11.2024","9,510","9,500","9,570","9,465","415,48K","-0,11%"
"27.11.2024","9,520","9,395","9,545","9,395","565,90K","0,85%"
"26.11.2024","9,440","9,400","9,545","9,325","839,47K","-0,94%"
"25.11.2024","9,530","9,440","9,530","9,345","1,14M","1,28%"
"22.11.2024","9,410","9,240","9,460","9,195","976,14K","1,89%"
"21.11.2024","9,235","9,025","9,235","9,000","1,02M","2,61%"
"20.11.2024","9,000","9,020","9,050","8,945","440,05K","0,17%"
"19.11.2024","8,985","9,130","9,190","8,915","685,14K","-1,75%"
"18.11.2024","9,145","9,140","9,240","9,085","634,81K","0,49%"
"15.11.2024","9,100","8,905","9,130","8,895","552,62K","2,13%"
"14.11.2024","8,910","8,845","9,040","8,830","541,64K","0,39%"
"13.11.2024","8,875","8,900","8,995","8,835","567,64K","-0,50%"
"12.11.2024","8,920","9,245","9,245","8,910","855,45K","-4,03%"
"11.11.2024","9,295","9,415","9,430","9,260","565,40K","-0,91%"
"08.11.2024","9,380","9,450","9,470","9,345","905,83K","-0,95%"
"07.11.2024","9,470","9,100","9,505","9,100","2,21M","4,70%"
"06.11.2024","9,045","8,805","9,080","8,770","2,35M","5,05%"
"05.11.2024","8,610","8,550","8,735","8,550","973,53K","0,70%"
"04.11.2024","8,550","8,495","8,600","8,475","974,18K","0,94%"
"01.11.2024","8,470","8,400","8,485","8,400","581,25K","0,77%"
"31.10.2024","8,405","8,500","8,510","8,365","1,47M","-1,35%"
"30.10.2024","8,520","8,630","8,670","8,520","2,18M","-1,22%"
"29.10.2024","8,625","9,010","9,010","8,625","3,27M","-5,01%"
"28.10.2024","9,080","9,030","9,080","8,960","723,71K","1,34%"
"25.10.2024","8,960","8,950","9,015","8,920","520,38K","0,11%"
"24.10.2024","8,950","8,965","9,080","8,950","527,57K","-0,17%"
"23.10.2024","8,965","8,980","9,040","8,965","632,22K","-0,39%"
"22.10.2024","9,000","8,960","9,055","8,940","928,55K","0,33%"
"21.10.2024","8,970","9,125","9,150","8,970","927,19K","-1,43%"
"18.10.2024","9,100","9,125","9,245","9,085","1,08M","0,00%"
"17.10.2024","9,100","9,060","9,100","9,030","597,07K","0,17%"
"16.10.2024","9,085","9,060","9,125","9,050","586,61K","-0,11%"
"15.10.2024","9,095","9,115","9,125","9,045","632,23K","-0,27%"
"14.10.2024","9,120","9,110","9,140","9,065","521,26K","0,11%"
"11.10.2024","9,110","9,145","9,165","9,045","980,60K","-0,76%"
"10.10.2024","9,180","9,250","9,275","9,145","709,65K","-1,02%"
"09.10.2024","9,275","9,220","9,275","9,150","669,83K","-0,16%"
"08.10.2024","9,290","9,350","9,350","9,200","773,39K","-1,59%"
"07.10.2024","9,440","9,495","9,495","9,380","520,69K","-0,37%"
"04.10.2024","9,475","9,400","9,550","9,365","533,75K","0,96%"
"03.10.2024","9,385","9,450","9,455","9,325","496,78K","-1,26%"
"02.10.2024","9,505","9,595","9,655","9,465","715,93K","-0,83%"
"01.10.2024","9,585","9,650","9,700","9,550","652,80K","-0,83%"
"30.09.2024","9,665","9,850","9,930","9,625","844,19K","-0,62%"
"27.09.2024","9,725","9,925","9,930","9,700","863,59K","-1,52%"
"26.09.2024","9,875","9,950","10,010","9,875","750,10K","0,36%"
"25.09.2024","9,840","10,000","10,060","9,810","580,96K","-1,80%"
"24.09.2024","10,020","9,790","10,050","9,790","1,21M","3,67%"
"23.09.2024","9,665","9,670","9,710","9,575","488,27K","0,16%"
"20.09.2024","9,650","9,830","9,830","9,650","678,49K","-1,73%"
"19.09.2024","9,820","9,625","9,830","9,580","1,27M","3,70%"
"18.09.2024","9,470","9,390","9,500","9,345","444,14K","1,07%"
"17.09.2024","9,370","9,265","9,400","9,265","540,11K","1,08%"
"16.09.2024","9,270","9,265","9,335","9,200","259,92K","0,05%"
"13.09.2024","9,265","9,045","9,295","9,045","806,06K","2,43%"
"12.09.2024","9,045","9,020","9,100","8,965","553,54K","1,34%"
"11.09.2024","8,925","9,005","9,075","8,915","470,99K","-0,56%"
"10.09.2024","8,975","8,950","9,015","8,910","607,22K","0,11%"
"09.09.2024","8,965","9,020","9,030","8,950","494,97K","0,11%"
"06.09.2024","8,955","9,125","9,130","8,955","1,24M","-2,24%"
"05.09.2024","9,160","9,095","9,270","9,035","496,60K","0,38%"
"04.09.2024","9,125","9,250","9,265","9,095","779,28K","-1,88%"
"03.09.2024","9,300","9,535","9,560","9,250","516,77K","-2,77%"
"02.09.2024","9,565","9,505","9,585","9,420","379,83K","0,47%"
"30.08.2024","9,520","9,525","9,615","9,470","565,42K","0,11%"
"29.08.2024","9,510","9,470","9,545","9,440","1,23M","0,85%"
"28.08.2024","9,430","9,485","9,515","9,420","398,22K","-0,37%"
"27.08.2024","9,465","9,390","9,570","9,390","791,30K","0,48%"
"26.08.2024","9,420","9,365","9,465","9,335","436,25K","0,32%"
"23.08.2024","9,390","9,295","9,390","9,285","433,11K","1,57%"
"22.08.2024","9,245","9,240","9,290","9,215","338,07K","-0,22%"
"21.08.2024","9,265","9,185","9,290","9,175","385,67K","1,48%"
"20.08.2024","9,130","9,235","9,265","9,115","372,35K","-1,19%"
"19.08.2024","9,240","9,135","9,280","9,125","435,33K","1,48%"
"16.08.2024","9,105","9,110","9,150","9,060","427,73K","0,00%"
"15.08.2024","9,105","9,100","9,150","9,040","467,82K","0,77%"
"14.08.2024","9,035","9,135","9,135","9,020","360,60K","-0,39%"
"13.08.2024","9,070","9,160","9,160","9,050","525,30K","-0,93%"
"12.08.2024","9,155","9,190","9,190","9,065","423,31K","0,11%"
"09.08.2024","9,145","9,180","9,255","9,130","351,77K","0,22%"
"08.08.2024","9,125","9,130","9,135","9,015","435,54K","-0,76%"
"07.08.2024","9,195","9,100","9,250","9,020","492,73K","1,88%"
"06.08.2024","9,025","9,090","9,180","8,995","572,56K","0,73%"
"05.08.2024","8,960","9,040","9,065","8,880","1,46M","-3,08%"
"02.08.2024","9,245","9,450","9,500","9,240","780,22K","-2,89%"
"01.08.2024","9,520","9,630","9,750","9,500","445,50K","-1,75%"
"31.07.2024","9,690","9,650","9,700","9,625","509,07K","0,78%"
"30.07.2024","9,615","9,650","9,680","9,520","453,31K","-0,21%"
"29.07.2024","9,635","9,745","9,745","9,575","354,25K","-0,77%"
