"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","11.595,00","11.530,00","11.613,40","11.525,40","47,63M","0,50%"
"30.12.2024","11.536,80","11.478,40","11.600,40","11.470,80","85,85M","0,05%"
"27.12.2024","11.531,60","11.453,00","11.531,60","11.421,90","78,83M","0,50%"
"25.12.2024","11.473,90","11.470,00","11.485,70","11.446,20","30,48M","0,00%"
"24.12.2024","11.473,90","11.470,00","11.485,70","11.446,20","30,48M","0,33%"
"23.12.2024","11.435,70","11.462,40","11.474,90","11.399,10","74,79M","-0,28%"
"20.12.2024","11.467,30","11.373,70","11.489,20","11.310,50","246,52M","0,24%"
"19.12.2024","11.439,90","11.423,00","11.481,40","11.401,70","138,52M","-1,53%"
"18.12.2024","11.617,90","11.599,40","11.669,60","11.558,70","101,93M","0,26%"
"17.12.2024","11.588,10","11.712,60","11.738,50","11.588,10","138,71M","-1,62%"
"16.12.2024","11.778,60","11.733,80","11.794,20","11.721,40","104,56M","0,23%"
"13.12.2024","11.752,10","11.768,10","11.857,60","11.744,30","95,01M","-0,11%"
"12.12.2024","11.764,80","11.778,10","11.819,30","11.741,80","122,24M","-0,21%"
